Subsystems,t0000_1,t0000_2,t0005,t0060,t1440,t2880,Genes
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,0,0,EXT1,EXT2,EXTL1,EXTL3
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,0,0,EXT1,EXT2,EXTL1,EXTL3
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0.001485022,0,0.001485022,0.001485022,0.001485022,0.001485022,
"Transport, Lysosomal",0,0,0,0,0,0,SLC17A5
"Transport, Extracellular",100,-95,-100,100,-100,-13.11499,SLC2A6,SLC2A14,SLC2A12,SLC2A7,SLC2A8,SLC2A9,SLC2A1,SLC2A2,SLC2A3,SLC2A4,SLC2A11,SLC2A10
"Transport, Extracellular",100,100,100,-100,-100,18.11499,SLC5A1
"Transport, Extracellular",-95,100,-95,100,100,-100,SLC5A2
"Transport, Extracellular",-100,-100,-100,-100,-95,100,SLC5A10,SLC5A12,SLC5A9,SLC5A2,SLC5A3
"Transport, Extracellular",-100,-100,100,-95,100,-100,SLC5A1
"Transport, Endoplasmic Reticular",-100,-100,-100,-100,-100,-100,
"Transport, Golgi Apparatus",0,0,0,0,0,0,SLC2A1
"Transport, Lysosomal",0,0,0,0,0,0,
"Starch and Sucrose Metabolism",0,0,0,0,0,0,AGL
"Starch and Sucrose Metabolism",0.3016078,0.3016078,0.3016078,0.3016078,0.3016078,0.3016078,GYG1,GYS1,GYS2,GYG2
"Transport, Extracellular",0.006148386,100,100,0.002543323,100,0.002365377,SLC1A5
"Transport, Extracellular",0.7,100,100,-0.04660206,0.002094801,0.002365377,SLC1A5
"Transport, Extracellular",0.006148386,100,100,99.95254,100,0.002365377,SLC1A5
"Ascorbate and Aldarate Metabolism",0,-2.459028,-1000,-0.2034035,-1000,-1000,
"Glutamate metabolism",0.1464363,0.2359254,0.1464363,0.1464363,0.1464315,0.1859254,GLUL,LGSN
"Transport, Extracellular",99.85,100,0.001374211,100,100,100,SLC1A5
"Transport, Extracellular",100,0.004555857,-0.05,99.94746,0.002094801,100,SLC1A5
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC6A14,SLC38A2,SLC38A4,SLC38A1
"Transport, Extracellular",100,47.8617,-99.45137,-100,-100,-100,SLC38A3,SLC38A5
"Transport, Mitochondrial",0.3501803,0.4396694,0.3501803,0.3501803,0.3501803,0.3896694,
"Starch and Sucrose Metabolism",0,0,0,0,0,0,PYGB,PYGL,PYGM
"Starch and Sucrose Metabolism",0,0,0,0,0,0,PYGB,PYGL,PYGM
"Ascorbate and Aldarate Metabolism",0,-2.459028,-1000,-0.2034035,-1000,-1000,
"Urea cycle/amino group metabolism",0,0,0,0,0,0,ALDH18A1
"Glutathione Metabolism",0,0,0,0,0,0,GCLC,GCLM
"Glutamate metabolism",0,0,0,0,0,0,GAD1,GAD2
"Glutamate metabolism",999.6032,999.5181,-1000,999.0237,-0.5545666,998.627,GLUD1,GLUD2
"Glutamate metabolism",-1000,-1000,998.6093,-1000,-1.335503,-1000,GLUD1,GLUD2
"Glutamate metabolism",0.3501803,0.4396694,0.3501803,0.3501803,0.3501803,0.3896694,GLS2,GLS
"IMP Biosynthesis",0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,PPAT
"Tryptophan metabolism",0.08843799,0.08843799,0.08843799,0.08843799,0.08843799,0.08843799,GCDH
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC17A8,SLC17A7,SLC17A6
"Transport, Mitochondrial",-1.019714,-1.194345,-2.013606,-1.599226,-2.512995,394.8147,SLC25A13,SLC25A22,SLC25A18,SLC25A12
"Transport, Extracellular",-0.05,-100,0.05,-100,-100,0.05,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,LDHAL6A,LDHD,LDHA,LDHB,LDHC,UEVLD,LDHAL6B
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,HAO2,HAO1
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,0,0,
"Urea cycle/amino group metabolism",0,0,0,0,0,0,GATM
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,GCAT
"Transport, Extracellular",0,0,0,0,0,0,SLC6A12
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,GRHPR
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,HAO2,HAO1
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,GK,GK2,GK3P
"Glycerophospholipid Metabolism",0,0,0,0,0,0,GK,GK2,GK3P
"Pyruvate Metabolism",0,0,0,0,0,0,HAGH,HAGHL
"Pyruvate Metabolism",0,0,0,0,0,0,HAGH
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-61.23221,-100,-100,SLC32A1
"Transport, Extracellular",-100,-100,-100,97.47432,74.38736,-100,SLC36A1
"Transport, Lysosomal",0,0,0,0,0,0,SLC36A1
"Transport, Extracellular",-99.95,-99.95,-99.95,-100,-100,100,SLC6A14,SLC38A2,SLC38A4,SLC38A1
"Transport, Extracellular",100,100,100,19.0316,25.81369,-100,SLC6A9
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC6A5
"Transport, Mitochondrial",0.01032794,0.005980417,1.00422,0.5898399,1.503609,0.9470245,
"Transport, Peroxisomal",0,0,0,0,0,0,
"Fructose and Mannose Metabolism",0,0,0,0,0,0,GMDS
"Nucleotides",0,0,0,0,0,0,GMPR,GMPR2
"Nucleotides",0.01362904,0.01362904,0.01362904,0.01362904,0.01362424,0.01362904,GMPS
"Transport, Nuclear",0,0,0,0,-4.488036,0,
"Pentose Phosphate Pathway",4.522514,1.958684,1.516217,2.368632,0,0,PGD
"Pentose Phosphate Pathway",0,0,0,0,0,0,
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,GNMT
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Triacylglycerol Synthesis",0.1129419,0.1129419,0.1129419,0.1129419,0.1129419,0.1129419,GPAM
"Triacylglycerol Synthesis",0,0,0,0,0,0,GPAM
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGW
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PGAP1
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PGAP1
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGX,PIGM
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGX,PIGM
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Cholesterol Metabolism",0,0,0,0,0,0,GGPS1
"Cholesterol Metabolism",0.03365308,0.03365308,0.03365308,0.03365308,0.03365308,0.03365308,FDPS
"Nucleotides",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,100,0,SLC29A1,SLC29A2
"Transport, Extracellular",100,100,100,-100,0,-100,SLC28A3,SLC28A2
"Transport, Extracellular",-100,-100,-100,100,-100,100,SLC28A3
"Transport, Lysosomal",0,0,0,0,0,0,SLC29A3
"Transport, Mitochondrial",0,0,0,0,0,0,SLC29A1
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,0.0006972629,0,
"Glutamate metabolism",0,0,0,0,0,0,GSR
"Glutamate metabolism",0.2219023,0,0,0,0,0,GSR
"Glutathione Metabolism",0,0,0,0,-0.0006972629,0,GPX1,GPX2,GPX4,PRDX1,PRDX2
"Glutathione Metabolism",0,0,0,0,0,0,GPX6,GPX3
"Glutathione Metabolism",0.2219023,0,0,0,0,0,PRDX3,GPX4
"Glutathione Metabolism",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Glutathione Metabolism",0,0,0,0,0,0,GSS
"Glutathione Metabolism",0,0,0,0,0,0,GGT1,GGT3P
"Tetrahydrobiopterin",0,0,0,0,0,0,GCH1
"Tetrahydrobiopterin",0,0,0,0,0,0,GCH1
"Transport, Nuclear",0,0,0,0,0,0,
"Nucleotides",0,0,0,0,4.488036,0,GUCY1B2,GUCY1A2,GUCY1A3,GUCY1B3,GUCY2C,GUCY2F,GUCY2D,NPR1,NPR2
"Purine Catabolism",0,0,0,0,-4.807765e-06,0,GDA
"Salvage Pathway",0,0,0,0,0,0,HPRT1
"Transport, Extracellular",0,0,0,0,0,0,SLC29A2
"Transport, Endoplasmic Reticular",0,2.459028,1000,0.2034035,1000,1000,
"Pentose and Glucuronate Interconversions",0.001485022,0,0.001485022,0.001485022,0.001485022,0.001485022,
"Pentose and Glucuronate Interconversions",0.001485022,-2.459028,-999.9985,-0.2019185,-999.9985,-999.9985,
"Transport, Endoplasmic Reticular",0.001485022,0,0.001485022,0.001485022,0.001485022,0.001485022,
"Pentose and Glucuronate Interconversions",0,0,0,0,0,0,
"Histidine Metabolism",0.01745811,0.01745811,0.01745811,0.01745811,0.01745811,0.01745811,FTCD
"Miscellaneous",1.870288,1.870288,1.870288,1.870288,1.870288,1.909777,CA14,CA13,CA1,CA2,CA3,CA4,CA7,CA9,CA12
"Miscellaneous",-1.870288,-1.870288,-1.870288,-1.870288,-1.870288,-1.909777,
"Miscellaneous",999.2975,999.4594,-1000,-1000,-1000,-1000,
"Miscellaneous",-999.2975,-999.4594,1000,1000,1000,1000,CA5B,CA5A
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGN
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGV
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGV
"Tyrosine metabolism",0,0,0,0,0,0,DUOX2,DUOX1
"Transport, Extracellular",0,-2.546593,0,-6.125831,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0.2219023,0,0,0,0,0,
"Transport, Nuclear",-0.0006473805,-0.0005019522,0,0,0,-0.0005879878,
"Transport, Peroxisomal",-0.2212549,-2.456602,0.0006991248,-6.125203,0.007091789,0.0005879878,
"Transport, Extracellular",-100,-100,-100,100,-100,93.77057,SLC5A1
"Transport, Endoplasmic Reticular",-0.1850919,-2.475855,-0.1850919,-0.1850919,-0.1850919,-0.1850919,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",-365.8723,-357.5093,637.8826,-996.25,-1000,-1000,AQP8
"Transport, Nuclear",-0.001294761,-4.817183,-0.005496844,-2.224007,-1000,-0.006508143,
"Transport, Peroxisomal",0,0,-0.0006991248,0,-6.084386,-0.2164011,
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGN
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGB
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGB
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGF,PIGO
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGN
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGV
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGV
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGF,PIGO
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGZ
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGZ
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGF,PIGG
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGN
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGF,PIGG
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGZ
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGZ
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGN
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGK,PIGU,PIGT,GPAA1,PIGS
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGZ
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGZ
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGK,PIGU,PIGT,GPAA1,PIGS
"Tryptophan metabolism",-0.08843799,-0.08843799,-0.08843799,-0.08843799,-0.08843799,-0.08843799,HSD17B10,HADHA,HADHB,HADH
"Tryptophan metabolism",0,0,0,0,0,0,EHHADH,HSD17B4
"Valine, Leucine, and Isoleucine Metabolism",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,HSD17B10
"Hyaluronan Metabolism",0,0,0,0,0,0,HAS1,HAS2,HAS3
"Hyaluronan Metabolism",0,0,0,0,0,0,HAS1,HAS2,HAS3
"Transport, Lysosomal",0,0,0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,0,0,COQ2
"Urea cycle/amino group metabolism",1000,1000,-364.3134,-998.7294,-668.242,-996.9979,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC4A3,SLC4A1,SLC4A2,SLC4A9
"Transport, Extracellular",-100,-100,-100,-100,-100,-11.23268,SLC4A7
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Peroxisomal",-0.2212549,-2.456602,0,-6.125203,-6.077294,-0.1368349,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Glycolysis/Gluconeogenesis",5,0,0,5,5,0,GCK,HK1,HK2,HK3,HKDC1
"Aminosugar Metabolism ",0,0,0,0,0,0,GCK,HK1,HK2,HK3,HKDC1
"Fructose and Mannose Metabolism",0,0,0,0,0,0,GCK,HK1,HK2,HK3,HKDC1
"Fructose and Mannose Metabolism",0,3.999622,5,0,0,3.345738,GCK,HK1,HK2,HK3,HKDC1
"Transport, Peroxisomal",0,0,0,0,0,0,
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,
"Tyrosine metabolism",0.08948908,0,0.08948908,0.08948908,0.08948908,0.08948908,HGD
"Valine, Leucine, and Isoleucine Metabolism",0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,HIBADH
"Histidine Metabolism",0.01745811,0.01745811,0.01745811,0.01745811,0.01745811,0.01745811,HAL
"Histidine Metabolism",0,0,0,0,0,0,DDC,HDC
"Histidine Metabolism",0,0,0,0,0,0,ABP1,AOC2
"Transport, Extracellular",-33.33333,-33.33333,-33.33333,-33.33333,-33.33333,-33.33333,SLC18A1,SLC18A2
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC22A3,SLC22A2
"Transport, Extracellular",0.05,0.05,0.05,0.05,100,-100,SLC6A14,SLC38A2
"Transport, Extracellular",-100,-100,-100,-100,-100,0.05,SLC38A3
"Transport, Extracellular",100,100,100,100,0.05,100,SLC38A4
"Tryptophan metabolism",0.04894891,0.04894891,0.04894891,0.04894891,0.04894891,0.04894891,KYNU
"Transport, Extracellular",-100,-100,-100,-99.95,-100,-60.59561,ATP4A,ATP4B
"Heme Biosynthesis",0,0,0,0,0,0,HMBS
"Cholesterol Metabolism",0,0,0,0,0,0,HMGCR
"Cholesterol Metabolism",0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,HMGCR
"Cholesterol Metabolism",0,0,0,0,0,0,HMGCS1
"Cholesterol Metabolism",0.06354512,0.06354512,0.06354512,0.06354512,0.06354512,0.06354512,HMGCS2
"Transport, Mitochondrial",-0.1009592,-0.1009592,-0.1009592,-0.1009592,-0.1009592,-0.1009592,
"Transport, Peroxisomal",0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,
"Cholesterol Metabolism",0,0,0,0,0,0,HMGCL,HMGCLL1
"Cholesterol Metabolism",0,0,0,0,0,0,HMGCL
"Transport, Extracellular",0,0,0,0,0,0,SLC7A1,SLC7A2,SLC7A3
"Heme Degradation",0,0,0,0,0,0,HMOX1,HMOX2
"Transport, Extracellular",0,0.08948908,0,0,0,0,
"Fatty Acid Metabolism",0,0,0,0,0,0,HYALP1
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,0,0,ALDH4A1
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,LDHAL6A,LDHD,LDHA,LDHB,LDHC,LDHAL6B
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,GRHPR
"Transport, Peroxisomal",0,0,0,0,0,0,
"Transport, Nuclear",0,0,0,0,0,0,
"Heparan sulfate degradation",0,0,0,0,0,0,SGSH
"Heparan sulfate degradation",0,0,0,0,0,0,SGSH
"Heparan sulfate degradation",0,0,0,0,0,0,SGSH
"Heparan sulfate degradation",0,0,0,0,0,0,SGSH
"Heparan sulfate degradation",0,0,0,0,0,0,
"Heparan sulfate degradation",0,0,0,0,0,0,
"Heparan sulfate degradation",0,0,0,0,0,0,
"Heparan sulfate degradation",0,0,0,0,0,0,
"Steroid Metabolism",-0.1697504,0,1000,-1000,1000,-0.03365308,HSD11B1
"Steroid Metabolism",0.1697504,0,-1000,1000,-1000,0.03365308,HSD11B2
"Steroid Metabolism",0,0,-999.8302,-1000,-1000,-1000,HSD17B1,HSD17B8
"Steroid Metabolism",0,0,0,0,0,0,HSD17B2
"Steroid Metabolism",0,0,0,0,0,0,HSD17B3
"Bile Acid Biosynthesis",0,0,0,0,0,0,HSD17B4
"Bile Acid Biosynthesis",0,0,0,0,0,0,HSD17B4
"Steroid Metabolism",0,0,0,1000,0,1000,HSD17B7
"Steroid Metabolism",0,0,999.8302,0,1000,0,HSD17B2
"Steroid Metabolism",0,0.7635876,0,0,0,0,HSD17B7
"Steroid Metabolism",1000,1000,1000,-1000,1000,-1000,AKR1C4
"Steroid Metabolism",-1000,-999.2364,-1000,1000,-1000,1000,AKR1C4
"Steroid Metabolism",0,0,0,0,0,0,HSD3B1
"Steroid Metabolism",0,0,0,0,0,0,HSD3B2
"Steroid Metabolism",0,0,0,0,0,0,HSD3B2
"Steroid Metabolism",0,0,0,0,0,0,HSD3B1
"Steroid Metabolism",0,0,0,0,0,0,HSD3B2
"Steroid Metabolism",0,0,0,0,0,0,HSD3B2
"Steroid Metabolism",0,0.7635876,0,0,0,0,HSD3B2
"Bile Acid Biosynthesis",0,0,0,0,0,0,HSD3B7
"Bile Acid Biosynthesis",0,0,0,0,0,0,HSD3B7
"Heparan sulfate degradation",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,SLC29A3
"Transport, Peroxisomal",0,0,0,0,0,0,
"Salvage Pathway",0,0,0,0,0,0,HPRT1
"Vitamin B6 Metabolism",0,0,0,0,0,0,PDXP
"Taurine and hypotaurine metabolism",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,SLC29A2
"Transport, Mitochondrial",0,0,1000,1000,0,0,UCP1,UCP2,UCP3,SLC25A14,SLC25A27
"Transport, Endoplasmic Reticular",0.1113826,-0.01682654,-0.05836779,999.908,0.09693266,0.1529239,
"Transport, Peroxisomal",0.1009592,0.1009592,0.1009592,0.1009592,0.1009592,0.06147015,
"Citric Acid Cycle",0,0,0,999.8111,0,999.8111,IDH3A,IDH3B,IDH3G
"Citric Acid Cycle",682.2789,0,0,0,0,0,IDH1
"Citric Acid Cycle",0,0,0,0,0,0,IDH1
"Citric Acid Cycle",-682.4678,-0.1889404,-0.1771131,-1000,-0.168106,-1000,IDH2
"Tyrosine metabolism",0,0,0,0,0,0,TPO
"Tyrosine metabolism",0,0,0,0,0,0,TPO
"Tyrosine metabolism",0,0,0,0,0,0,TPO
"Tyrosine metabolism",0,0,0,0,0,0,TPO
"Heparan sulfate degradation",0,0,0,0,0,0,IDUA
"Heparan sulfate degradation",0,0,0,0,0,0,IDUA
"Heparan sulfate degradation",0,0,0,0,0,0,IDUA
"Chondroitin sulfate degradation",0,0,0,0,0,0,IDUA
"Transport, Lysosomal",0,0,0,0,0,0,SLC17A5
"Transport, Nuclear",-1000,-0.02331142,-0.01765688,-1000,-1000,-1000,
"Valine, Leucine, and Isoleucine Metabolism",0,0,0,0,0,0,BCAT1
"Valine, Leucine, and Isoleucine Metabolism",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,BCAT2
"Transport, Extracellular",-99.95,-99.95,-99.95,100,-99.95,-99.95,SLC6A14
"Transport, Mitochondrial",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,
"Transport, Extracellular",100,100,100,-99.95,100,100,SLC43A2,SLC43A1
"Histidine Metabolism",0,0,0,0,0,0,ALDH1A1,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Histidine Metabolism",0,0,0,0,0,0,ALDH2,ALDH1B1,ALDH4A1
"IMP Biosynthesis",-0.02249586,-0.02249586,-0.02249586,-0.02249586,-0.02249586,-0.02249586,ATIC
"Nucleotides",0.01362904,0.01362904,0.01362904,0.01362904,0.01362904,0.01362904,IMPDH1,IMPDH2
"Inositol Phosphate Metabolism",0.001485022,0,0.001485022,0.001485022,0.001485022,0.001485022,MIOX
"Nucleotides",0,0,0,0,0,0,
"Transport, Extracellular",-100,0.003514978,100,100,100,0.005,SLC2A13
"Transport, Extracellular",100,-100,-100,-100,-100,-100,SLC5A3
"Transport, Extracellular",0.005,100,0.005,0.005,0.005,100,SLC5A11
"Transport, Extracellular",0,100,0,0,0,100,SLC29A1,SLC29A2
"Transport, Extracellular",-100,-100,100,-100,-100,0,SLC28A3,SLC28A2
"Transport, Extracellular",100,0,-100,100,100,-100,SLC28A3
"Transport, Lysosomal",0,0,0,0,0,0,SLC29A3
"Transport, Mitochondrial",0,0,0,0,0,0,SLC29A1
"Cholesterol Metabolism",0.03365308,0.03365308,0.03365308,0.03365308,0.03365308,0.03365308,IDI1,IDI2
"C5-Branched dibasic acid metabolism",999.1961,0.08072867,-1000,876.5662,-332.0949,1000,SUCLG2,SUCLG1
"C5-Branched dibasic acid metabolism",-999.1961,-0.08072867,1000,-876.5662,332.0949,-1000,SUCLG1,SUCLA2
"Transport, Nuclear",1000,0.02331142,0.01765688,1000,1000,1000,
"Histidine Metabolism",0.01745811,0.01745811,0.01745811,0.01745811,0.01745811,0.01745811,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC5A8
"Fatty acid elongation",0.2386914,0.2641744,0,0,0,0,FASN
"Transport, Extracellular",100,100,100,100,23.89325,100,SLC12A7,SLC12A4,SLC12A6
"Transport, Extracellular",100,100,100,100,100,100,SLC12A7,SLC12A5,SLC12A4,SLC12A6
"Aminosugar Metabolism ",0,0,0,0,0,0,
"Fructose and Mannose Metabolism",0,1.000378,0,0,0,1.654262,KHK
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,0,0,KHK
"Galactose metabolism",0,0,0,0,0,0,KHK
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Tryptophan metabolism",0,0,0,0,0,0,KYNU
"Tryptophan metabolism",0.04894891,0.04894891,0.04894891,0.04894891,0.04894891,0.04894891,KMO
"Tryptophan metabolism",0,0,0,0,0,0,AADAT,CCBL1
"Tryptophan metabolism",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,SLC9A8,SLC9A7
"Galactose metabolism",0,0,0,0,0,0,LCT
"Galactose metabolism",0,0,0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Pyruvate Metabolism",-1000,-999.995,1000,-1000,4.188751,-999.9961,GRHPR
"Pyruvate Metabolism",0,-0.00499757,0,0,-0.005064105,-0.003858134,ADH5
"Pyruvate Metabolism",0,0,993.3171,0,0,0,AKR1A1,AKR1B1,AKR7A2
"Pyruvate Metabolism",0,0,6.682899,0,1000,0,AKR7A2
"CoA Catabolism",0,0,0,0,0,0,ACP2
"Pyruvate Metabolism",0,0,0,0,0,0,ALDH1A1,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Pyruvate Metabolism",0,0,0,0,0,0,ALDH1A1,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Pyruvate Metabolism",0,0,0,0,0,0,ALDH2,ALDH1B1,ALDH6A1,ALDH18A1,ALDH5A1,ALDH4A1
"Pyruvate Metabolism",0,0,0,0,0,0,ALDH2,ALDH1B1,ALDH6A1,ALDH18A1,ALDH5A1,ALDH4A1
"Fatty Acid Metabolism",0,0,0,0,0,0,LCAT
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Cysteine Metabolism",0,0.01720713,0,0,0,0,GOT1
"Cysteine Metabolism",0,0,0,0,0,0,GOT2
"Taurine and hypotaurine metabolism",0,0,0,0,0,0,GAD1,GAD2,CSAD
"Pyruvate Metabolism",0,0,0,0,0,0,LDHD
"Glycolysis/Gluconeogenesis",-1000,-1000,-1000,-1000,-1000,-997.5316,LDHAL6A,LDHA,LDHB,LDHC,UEVLD,LDHAL6B
"Pyruvate Metabolism",999.9927,1000,999.9982,999.9961,1000,997.5316,LDHA
