Subsystems,t0005,t0060,t1440,t2880,Genes
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"Fatty acid elongation",0.001,0.008412322,0.001,0.008435971,SCD
"Fatty acid elongation",0,0,0,0,FADS2
"Fatty acid elongation",0.001,0.001,0.001,0.002,SCD
"Fatty acid elongation",0.002,0.002,0.1284211,0.001,SCD
"Fatty acid elongation",0.001,0.001,0.001,0.001,SCD
"Fatty acid elongation",0,0,0,0.001,FADS2
"Fatty acid elongation",0.001,0.001,0.1274211,0,FADS2
"Fatty acid elongation",0,0,0,0,FADS2
"Fatty acid elongation",0,0,0,0,FADS2
"Fatty acid elongation",0,0,0,0,FADS1
"Fatty acid elongation",0,0,0,0,FADS1
"Fatty acid elongation",0,0,0,0,
"Fatty acid elongation",0,0,0,0,
"Fatty acid elongation",0,0,0,0,FADS2
"Triacylglycerol Synthesis",0.03099742,0.0310257,0.03116711,0.03112469,DGAT2,DGAT1
"Transport, Extracellular",-0.001,0,0,0,
"Transport, Peroxisomal",0.001,0,0,0,
"Nucleotides",-0.002713312,-0.002714875,-0.001722691,-0.001720347,GUK1
"Nucleotides",0.001,0.001,0,0,
"Nucleotides",0.001,0.001,0,0,DGUOK
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0.001,0.001,0,0,
"Transport, Nuclear",0,0,0,0,
"Pentose and Glucuronate Interconversions",0.001,0.005502557,0,0.001,
"Transport, Extracellular",0,0,0,0,SLC2A1,SLC2A3,SLC2A4
"Triacylglycerol Synthesis",0,0,0,0,GNPAT
"Triacylglycerol Synthesis",0,0,0,0,GNPAT
"Transport, Peroxisomal",0.001,0,0,0,
"Cholesterol Metabolism",0,0,0,0,DHCR24
"Cholesterol Metabolism",0.01872733,0,0,0,DHCR24
"Cholesterol Metabolism",0,0.0167426,0.01681891,0.01679601,DHCR24
"Cholesterol Metabolism",0,0.0167426,0.01681891,0.01679601,DHCR7
"Cholesterol Metabolism",0.01872733,0,0,0,DHCR7
"Sphingolipid Metabolism",0,0,0,0,DEGS1
"Sphingolipid Metabolism",0.002716501,0.00271898,0.002731372,0.002727655,DEGS1
"Ubiquinone Biosynthesis",0,0,0,0,COQ3
"Steroid Metabolism",0,0,0,0.001,SULT1E1,SULT2A1
"Transport, Extracellular",0,0,0,0,SLCO1B1,SLCO2B1,SLCO1B3,SLCO1A2
"Transport, Extracellular",0,0,0,0,
"Folate Metabolism",0.004558696,0.004561031,0.003572704,0.003569202,DHFR
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Pyrimidine Biosynthesis",0.02194298,0.02196209,0.02105764,0.02102897,DHODH
"Pyrimidine Biosynthesis",-0.02194298,-0.02196209,-0.02105764,-0.02102897,CAD
"Pyrimidine Catabolism",0,0,0,0,DPYS,DPYSL2,DPYSL3
"Pyrimidine Catabolism",0,0,0,0,
"Tetrahydrobiopterin",0.04581817,0.04581435,0.04579527,0.045801,QDPR
"Tetrahydrobiopterin",0,0,0,0,
"Transport, Nuclear",-1000,-1000,-1000,-1000,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Nuclear",1000,1000,1000,1000,
"Arginine and Proline Metabolism",0,0,0.001,0,
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Cholesterol Metabolism",0,0,0,0,GGPS1
"Cholesterol Metabolism",0.03745467,0.03348519,0.03363782,0.03359203,FDPS
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DMGDH
"Transport, Mitochondrial",0,0,0,0,
"Carnitine shuttle",0,0,0,0,
"Carnitine shuttle",0,0,0,0,
"Carnitine shuttle",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.001,0.001,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"NAD Metabolism",0,0,0,0,ENPP1,ENPP2,ENPP3
"Transport, Nuclear",-500,0,0,0,
"Selenoamino acid metabolism",0,0,0,0,DNMT1,TRDMT1,DNMT3A,DNMT3B
"Methionine Metabolism",0,0,0,0,DNMT1,TRDMT1,DNMT3A,DNMT3B
"Transport, Mitochondrial",0,0,1000,1000,SLC25A19
"Transport, Mitochondrial",1000,1000,0.2078177,1000,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",999.999,0,1000,0,SLC25A19
"Transport, Mitochondrial",0.001,0,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,1000,1000,SLC25A19
"Transport, Mitochondrial",0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,0,1000,SLC25A19
"Transport, Mitochondrial",1000,0,1000,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,2.388884,SLC25A19
"Transport, Mitochondrial",1000,0,1000,1000,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,0,2.388884,SLC25A19
"Transport, Mitochondrial",0,1000,1000,1000,SLC25A19
"Transport, Mitochondrial",0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,1000,1000,1000,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,1000,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,0,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,1000,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0.001,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,1000,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",1000,0,0,997.6111,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,1000,SLC25A19
"Transport, Mitochondrial",0,0,1000,0,SLC25A19
"Transport, Mitochondrial",0,0,0.2078177,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",0,999.999,0,0,SLC25A19
"Transport, Mitochondrial",0,0,0,0,SLC25A19
"Transport, Mitochondrial",237.4675,0,0,0,SLC25A19
"Transport, Mitochondrial",0,0,999.7922,0,SLC25A19
"Transport, Mitochondrial",1000,1000,0,1000,SLC25A19
"Ascorbate and Aldarate Metabolism",0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,DAD1,DDOST,RPN1,RPN2
"N-Glycan Biosynthesis",0,0,0,0,DAD1,DDOST,RPN1,RPN2
"N-Glycan Biosynthesis",0,0,0,0,DOLPP1
"N-Glycan Biosynthesis",0,0,0,0,DOLPP1
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,ALG6
"N-Glycan Biosynthesis",0,0,0,0,ALG6
"N-Glycan Biosynthesis",0,0,0,0,ALG8
"N-Glycan Biosynthesis",0,0,0,0,ALG8
"N-Glycan Biosynthesis",0,0,0,0,ALG10
"N-Glycan Biosynthesis",0,0,0,0,ALG10
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,ALG3
"N-Glycan Biosynthesis",0,0,0,0,ALG3
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,ALG12
"N-Glycan Biosynthesis",0,0,0,0,ALG12
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,DPM3,DPM1,DPM2
"N-Glycan Biosynthesis",0,0,0,0,DPM3,DPM1,DPM2
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"Tyrosine metabolism",0,0,0,0,DBH,MOXD1
"Tyrosine metabolism",0,0,0,0,TYR
"Tyrosine metabolism",0,0,0,0,COMT
"Tyrosine metabolism",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Tyrosine metabolism",0,0,0,0,SULT1A2,SULT1A1,SULT1A3
"Transport, Extracellular",-66.66667,-66.66667,-66.66667,-66.66667,SLC18A1,SLC18A2
"Transport, Extracellular",-100,-100,-100,-100,SLC6A2,SLC6A3
"Transport, Extracellular",-100,-100,-100,-100,SLC22A3,SLC22A2
"D-arg and D-orn metabolism",0,0,0,0,DAO
"CoA Biosynthesis",0,0,0,0,COASY
"CoA Catabolism",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Glycolysis/Gluconeogenesis",0,0,0,0,PGAM1,PGAM2,BPGM
"Glycolysis/Gluconeogenesis",0,0,0,0,PGAM1,PGAM2,BPGM
"Ubiquinone Biosynthesis",0,0,0,0,
"Cholesterol Metabolism",0.112364,0.1004556,0.1009134,0.1007761,MVD
"Miscellaneous",0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,DAO
"Pentose Phosphate Pathway",0,0,0,0,RBKS
"Transport, Extracellular",0,0,0,0,
"Pentose Phosphate Pathway",0,0,0,0,
"Sphingolipid Metabolism",0.002716501,0.00271898,0.002731372,0.002727655,
"Transport, Nuclear",1000,1000,1000,1000,
"Nucleotides",0.001,0.001,0,0,DTYMK
"Transport, Nuclear",-1000,-1000,-1000,-1000,
"Transport, Nuclear",0,0,0.002572704,0,
"Transport, Nuclear",0,0,-0.002572704,0,
"Pyrimidine Catabolism",0,0,0,0,DPYD
"Pyrimidine Catabolism",0,0,0,0,DPYD
"Nucleotides",0,0.005275906,1000,0.002289548,TK1,TK2
"Nucleotides",0,0,254.4686,0,TK2
"Nucleotides",0,-0.005275906,0,-0.002289548,UPP2,NP
"Transport, Extracellular",0,0,0,0,
"Transport, Nuclear",0,0,0,0,
"Nucleotides",0,0,0,0,DUT
"Nucleotides",0,0,0.002572704,0,DUT
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,SLC16A8,SLC16A1,SLC16A3,SLC16A7
"Transport, Mitochondrial",0,0,0,0,SLC16A1
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Cholesterol Metabolism",0.01872733,0.0167426,0.01681891,0.01679601,EBP
"Cholesterol Metabolism",0,0,0,0,EBP
"Alkaloid biosynthesis II",0,0,0,0,
"Valine, Leucine, and Isoleucine Metabolism",0.03636114,0.03634869,0.03628647,0.03630514,ECHS1,HADHA,HADHB
"Tryptophan metabolism",-0.08850616,-0.08849567,-0.08844323,-0.08845896,ECHS1,HADHA,HADHB,AUH
"Tryptophan metabolism",0,0,0,0,ECH1,EHHADH
"Valine, Leucine, and Isoleucine Metabolism",0.04581817,0.04581435,0.04579527,0.045801,ECHS1,HADHA,HADHB
"Alkaloid biosynthesis II",0,0,0,0,AADAC
"Arginine and Proline Metabolism",0,0,0,0,GOT1
"Arginine and Proline Metabolism",0,0,0,0,GOT2
"Arginine and Proline Metabolism",0,0,0,0,GOT2
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0.001,0.001,0.001,0.001,CPT2
"Carnitine shuttle",0.001,0.001,0.001,0.001,SLC25A20
"Transport, Extracellular",0,0,0,0,
"N-Glycan Degradation",0,0,0,0,ENGASE
"N-Glycan Degradation",0,0,0,0,ENGASE
"N-Glycan Degradation",0,0,0,0,
"Keratan sulfate degradation",0,0,0,0,
"N-Glycan Degradation",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"Glycolysis/Gluconeogenesis",2.230586,2.00793,2.957046,2.958369,ENO1,ENO2,ENO3,
"Glycerophospholipid Metabolism",0,0,0,0,PCYT2
"Transport, Extracellular",-100,-100,-100,-100,SLCO1B1,SLCO4A1,SLCO1B3,SLCO1C1,SLCO1A2
"Transport, Extracellular",-100,-100,-100,-100,ABCC4
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Endoplasmic Reticular",999.8107,999.8271,999.8318,1000,
"Transport, Extracellular",0,0,0,0,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,ABCC3
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",100,-100,100,-100,SLCO1B1,SLCO2B1,SLCO4A1,SLCO3A1,SLCO1B3,SLCO1C1,SLCO1A2
"Transport, Extracellular",-100,100,-100,100,SLC10A1
"Transport, Endoplasmic Reticular",-999.8107,-999.8271,-999.8318,-1000,
"Steroid Metabolism",0,0,0,0,SULT1E1,SULT1A1
"Fatty acid oxidation",3.459296,0,0.3073338,0,ETFA,ETFB
"Fatty acid oxidation",3.459296,0,0.3073338,0,ETFDH
"Glycerophospholipid Metabolism",0,0,0.001,0.05784439,CHKA,ETNK2,ETNK1
"Glycerophospholipid Metabolism",0,0,0,0,PHOSPHO1
"Glycolysis/Gluconeogenesis",0,0,0,0,CYP2E1
"Transport, Extracellular",0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.07492027,0.07489739,0.07478297,0.0748173,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0.001,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0.3789767,0.1038733,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.005,-0.005,-0.005,-0.005,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",4.717882,4.755635,3.49611,1.989928,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.001,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.002,-0.002,0,-0.001,
"",0,0,0,0,
"",-0.001,-0.001,-0.001,-0.001,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-5,-5,-5,-5,
"",-0.5,-0.5,-0.5,-0.5,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",8.257837,8.381458,7.026404,5.537329,
"",1.3248,1.145354,1.213321,1.783223,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",-0.002494255,-0.005,-0.002513384,-0.002508601,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0.6401468,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0.03926985,0.1656046,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.001,0.001,0.001,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-3.728883,-3.827292,-2.153637,-0.8737602,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0.002,0.002,0,0.001,
"",0,0,0,0,
"",0,0,0,0,
"",-0.1223998,-0.1225087,-0.1200535,-0.11989,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0.09653667,
"",0.09555083,0.09654769,0.09653195,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.001,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.001,0.001,0.001,0.001,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0.04895511,0.04895415,0.04894938,0.04895081,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",-0.05,-0.05,-0.05,-0.05,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"",0,0,0,0,
"Fructose and Mannose Metabolism",0,0,0,0,FPGT
"N-Glycan Biosynthesis",0,0,0,0,FUT8
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty Acid Metabolism",0,0,0,0,
"Fatty Acid Metabolism",0,0,0,0,
"Fatty Acid Metabolism",0,0,0,0,OLAH
"Fatty acid activation",0,0,0,0,
"Fatty acid activation",0,0,0,0,ACSL1,ACSL3,,
"Fatty acid activation",0,0.2738565,0,0,ACSL1,ACSL3,,,ACSL5
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1,ACSL3,,
"Fatty acid activation",0,0,0,0,ACSL1,ACSL3,,,ACSL5
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1,ACSL3
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,SLC27A2
"Fatty acid activation",0,0,0,0,ACSL1
